-BEGIN HEADER-;;;;;
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ;;;;;
Dates (month/day/year): 01/01/2012 through 12/31/2021 ;;;;;
Location: Latitude  -33.7453   Longitude -70.0584 ;;;;;
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3232.94 meters;;;;;
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ;;;;;
Parameter(s): ;;;;;
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ;;;;;
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ;;;;;
PREC     MERRA-2 Precipitation Corrected (mm/day) ;;;;;
T2M     MERRA-2 Temperature at 2 Meters (C) ;;;;;
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) ;;;;;
-END HEADER-;;;;;
;QV2M (g/kg) ;RH2M (%);Prec (mm);T2M ( C);WS2M (m/S)
09-08-2019;0.98;29.69;0.0;-4.88;1.44
10-08-2019;1.59;36.19;0.0;-1.85;2.52
11-08-2019;1.46;53.56;0.0;-7.75;4.18
12-08-2019;0.73;27.56;0.0;-5.81;1.74
13-08-2019;1.4;19.06;0.0;3.13;1.24
14-08-2019;1.89;28.5;0.0;3.35;1.91
15-08-2019;2.32;43.62;0.0;0.98;2.3
16-08-2019;2.32;51.69;0.0;-1.77;4.63
17-08-2019;1.28;43.69;0.0;-5.69;3.86
18-08-2019;1.77;43.12;0.01;-2.97;1.66
19-08-2019;2.93;68.94;0.01;-2.97;2.91
20-08-2019;3.36;63.62;0.0;0.34;2.72
21-08-2019;3.11;61.5;0.0;-0.42;2.52
22-08-2019;1.95;31.94;0.0;4.25;1.18
23-08-2019;1.83;29.06;0.0;3.51;2.11
24-08-2019;2.93;55.12;0.0;0.44;2.87
25-08-2019;2.69;54.56;0.0;-0.61;3.05
26-08-2019;2.44;44.44;0.0;0.95;2.76
27-08-2019;2.81;41.0;0.0;4.08;1.99
28-08-2019;2.62;42.56;0.01;3.09;4.17
29-08-2019;3.6;71.25;0.0;-0.6;3.68
30-08-2019;1.89;47.44;0.0;-2.74;2.14
31-08-2019;0.92;20.38;0.0;-1.04;1.93
01-09-2019;1.1;25.06;0.0;-1.26;2.53
02-09-2019;1.1;29.88;0.0;-3.42;2.78
03-09-2019;0.92;21.81;0.0;-1.86;2.46
04-09-2019;2.2;41.38;0.0;0.46;1.63
05-09-2019;2.87;63.31;0.0;-2.18;3.55
06-09-2019;2.75;68.62;0.0;-3.74;2.96
07-09-2019;2.75;74.25;0.17;-4.62;2.68
08-09-2019;2.5;70.56;0.0;-4.56;3.94
09-09-2019;2.2;72.56;1.5;-7.06;3.48
10-09-2019;2.01;65.56;2.14;-6.77;1.97
11-09-2019;2.2;69.69;3.17;-6.1;1.8
12-09-2019;1.04;19.06;0.0;1.03;1.41
13-09-2019;1.46;27.94;0.0;0.61;1.98
14-09-2019;1.89;40.94;0.0;-1.1;3.73
15-09-2019;1.77;45.62;0.0;-3.91;4.65
16-09-2019;1.77;36.94;0.0;-0.82;1.46
17-09-2019;2.38;40.62;0.0;2.07;1.58
18-09-2019;2.38;49.75;0.0;0.46;2.62
19-09-2019;2.2;63.12;0.0;-4.92;3.67
20-09-2019;0.85;25.31;0.0;-3.96;1.86
21-09-2019;0.85;16.0;0.0;1.3;2.11
22-09-2019;1.71;27.81;0.0;3.08;2.43
23-09-2019;2.26;41.31;0.0;2.05;2.06
24-09-2019;2.87;49.12;0.0;3.53;2.52
25-09-2019;2.69;37.25;0.0;7.35;1.8
26-09-2019;3.11;37.38;0.0;8.52;1.26
27-09-2019;2.56;40.38;0.0;3.02;2.98
28-09-2019;1.4;20.12;0.0;4.76;2.48
29-09-2019;1.89;31.0;0.0;3.17;3.55
30-09-2019;2.81;61.62;0.71;-2.24;5.65
01-10-2019;2.32;69.06;1.97;-5.81;4.5
02-10-2019;1.22;37.12;0.01;-5.04;2.67
03-10-2019;1.53;42.94;0.0;-4.85;3.2
04-10-2019;0.79;24.81;0.0;-4.52;2.2
05-10-2019;1.1;25.62;0.0;-1.94;2.29
06-10-2019;2.87;54.0;0.26;0.15;2.71
07-10-2019;2.69;47.56;0.71;1.6;3.48
08-10-2019;2.5;37.5;0.0;3.89;2.35
09-10-2019;1.95;28.0;0.0;4.87;2.39
10-10-2019;1.59;24.81;0.0;3.08;3.09
11-10-2019;1.53;25.69;0.0;2.55;3.04
12-10-2019;1.77;30.5;0.0;1.53;2.85
13-10-2019;3.23;55.81;0.07;2.08;2.18
14-10-2019;3.66;77.31;0.89;-1.7;2.0
15-10-2019;2.38;52.12;0.01;-0.81;2.64
16-10-2019;2.87;59.31;0.43;-0.69;2.96
17-10-2019;2.2;52.5;0.03;-1.9;2.41
18-10-2019;2.75;47.88;0.0;2.54;1.88
19-10-2019;4.15;65.69;0.07;3.04;1.83
20-10-2019;2.87;60.75;0.01;-0.77;2.6
21-10-2019;1.4;25.69;0.0;2.24;2.15
22-10-2019;1.34;24.88;0.0;1.59;2.81
23-10-2019;1.77;29.88;0.0;2.38;2.26
24-10-2019;2.32;38.06;0.0;2.63;2.72
25-10-2019;1.65;25.12;0.0;4.37;2.14
26-10-2019;1.77;31.94;0.0;1.33;4.09
27-10-2019;2.32;38.06;0.0;2.15;4.23
28-10-2019;2.44;51.25;0.0;-0.92;5.8
29-10-2019;1.53;30.94;0.0;-1.24;4.14
30-10-2019;1.1;20.5;0.0;1.73;2.46
31-10-2019;2.01;28.5;0.0;4.89;3.16
01-11-2019;2.01;31.81;0.0;2.62;3.77
02-11-2019;1.53;19.19;0.0;6.22;2.51
03-11-2019;2.14;33.44;0.0;3.96;2.85
04-11-2019;2.32;41.5;0.0;0.67;3.12
05-11-2019;2.14;32.06;0.0;3.97;2.25
06-11-2019;1.83;26.38;0.0;4.78;2.09
07-11-2019;0.98;13.5;0.0;7.26;2.36
08-11-2019;1.46;18.56;0.0;6.82;2.44
09-11-2019;2.08;26.44;0.0;8.16;2.09
10-11-2019;3.36;36.94;0.93;10.47;2.03
11-11-2019;3.91;42.69;0.76;8.9;2.28
12-11-2019;3.11;39.69;1.32;6.37;2.46
13-11-2019;2.69;34.06;0.98;6.3;2.36
14-11-2019;2.75;31.25;0.08;8.71;2.2
15-11-2019;2.69;30.0;0.0;8.67;2.61
16-11-2019;3.48;43.62;0.0;6.47;2.76
17-11-2019;1.71;20.31;0.0;7.8;2.55
18-11-2019;2.2;22.94;0.0;9.57;2.18
19-11-2019;1.89;19.69;0.0;9.91;2.55
20-11-2019;1.95;20.69;0.0;10.07;2.2
21-11-2019;3.3;34.94;0.23;9.06;2.54
22-11-2019;4.09;42.25;0.18;9.69;2.41
23-11-2019;3.6;36.56;0.06;10.07;2.7
24-11-2019;3.17;49.0;0.39;3.57;3.57
25-11-2019;3.17;67.81;0.58;-0.74;3.65
26-11-2019;1.34;29.62;0.06;-0.03;2.7
27-11-2019;1.1;14.62;0.0;5.75;2.28
28-11-2019;1.77;23.75;0.0;5.4;3.62
29-11-2019;2.01;33.06;0.0;3.66;4.09
30-11-2019;1.16;14.69;0.0;7.83;2.67
01-12-2019;2.26;23.5;0.0;9.69;1.8
02-12-2019;2.75;31.88;0.93;8.07;2.09
03-12-2019;2.2;31.75;0.43;4.59;3.1
04-12-2019;1.46;22.56;0.0;4.04;2.23
05-12-2019;1.77;23.69;0.0;6.37;2.62
06-12-2019;2.62;34.19;0.0;6.16;2.41
07-12-2019;3.23;40.5;0.0;6.86;2.52
08-12-2019;3.85;44.69;0.0;7.81;1.68
09-12-2019;4.21;45.19;0.0;8.63;1.94
10-12-2019;3.91;38.75;0.0;10.15;2.31
11-12-2019;2.62;32.0;0.0;7.19;3.25
12-12-2019;1.34;15.38;0.0;8.37;3.08
13-12-2019;2.38;28.25;0.0;6.73;3.08
14-12-2019;4.03;54.19;0.01;4.78;2.98
15-12-2019;3.36;54.62;0.0;3.81;2.71
16-12-2019;2.26;32.56;0.0;6.61;1.89
17-12-2019;2.44;28.62;0.0;8.9;2.34
18-12-2019;2.14;23.19;0.0;8.85;2.43
19-12-2019;2.87;39.19;0.88;5.69;2.34
20-12-2019;2.26;33.75;0.19;4.96;2.6
21-12-2019;1.89;20.81;0.0;8.44;2.43
22-12-2019;2.81;29.62;0.0;10.8;1.8
23-12-2019;2.32;21.19;0.0;12.36;2.33
24-12-2019;2.32;25.81;0.03;8.26;3.44
25-12-2019;3.36;36.44;0.22;8.12;2.95
26-12-2019;2.38;23.19;0.0;10.39;2.88
27-12-2019;2.5;23.38;0.0;11.29;2.8
28-12-2019;3.85;32.69;0.0;13.28;2.23
29-12-2019;3.42;32.88;0.08;11.16;2.05
30-12-2019;2.87;29.75;0.07;10.37;2.45
31-12-2019;4.33;42.69;0.28;11.27;2.02
01-01-2020;5.31;48.56;0.19;11.77;1.89
02-01-2020;5.74;46.06;0.22;13.46;2.22
03-01-2020;5.8;44.38;0.19;14.46;2.17
04-01-2020;5.55;43.69;0.12;13.92;1.95
05-01-2020;4.46;58.19;0.0;5.2;4.64
06-01-2020;3.54;54.94;0.0;3.76;3.55
07-01-2020;4.15;57.38;0.0;5.07;3.37
08-01-2020;3.78;60.62;0.0;2.94;5.01
09-01-2020;2.5;35.19;0.0;5.07;3.36
10-01-2020;2.44;26.5;0.0;8.33;2.67
11-01-2020;2.38;22.5;0.0;11.15;2.04
12-01-2020;3.85;32.69;0.07;12.78;1.94
13-01-2020;2.26;20.81;0.41;11.76;2.49
14-01-2020;2.69;27.62;0.86;10.41;2.53
15-01-2020;1.71;16.12;0.24;10.76;2.62
16-01-2020;2.26;20.75;0.0;12.71;1.6
17-01-2020;3.05;24.5;0.0;14.23;1.94
18-01-2020;3.66;26.12;0.0;14.68;1.66
19-01-2020;5.68;40.06;0.06;13.73;1.73
20-01-2020;5.25;38.06;0.2;14.86;2.34
21-01-2020;4.82;37.19;0.37;14.91;1.9
22-01-2020;6.04;45.62;0.01;15.23;1.76
23-01-2020;6.23;45.75;0.23;14.66;2.26
24-01-2020;6.1;46.56;0.34;13.68;2.5
25-01-2020;3.42;31.56;0.0;11.95;2.24
26-01-2020;3.72;33.25;0.09;11.6;2.3
27-01-2020;4.88;46.38;0.1;11.05;2.38
28-01-2020;5.68;57.81;0.61;9.49;3.16
29-01-2020;6.1;68.81;0.55;7.35;2.89
30-01-2020;5.13;53.38;0.0;8.98;1.82
31-01-2020;3.48;32.38;0.0;11.67;1.95
01-02-2020;3.11;31.69;0.0;10.04;2.68
02-02-2020;3.48;35.12;0.01;9.99;2.62
03-02-2020;2.44;25.62;0.07;10.28;2.67
04-02-2020;3.3;41.19;0.44;6.03;3.05
05-02-2020;3.66;48.88;0.43;5.6;2.89
06-02-2020;2.44;31.31;0.58;6.45;2.77
07-02-2020;3.78;36.94;0.69;10.58;2.16
08-02-2020;4.52;40.44;3.83;11.95;2.05
09-02-2020;4.46;40.81;1.97;11.28;1.65
10-02-2020;4.09;40.81;0.25;10.8;2.18
11-02-2020;4.33;40.62;0.03;11.43;2.16
12-02-2020;3.3;36.25;0.0;8.69;2.41
13-02-2020;2.44;27.31;0.0;7.3;3.11
14-02-2020;1.1;11.25;0.0;9.55;2.37
15-02-2020;1.1;10.38;0.0;10.18;2.37
16-02-2020;2.56;28.75;0.0;8.33;2.94
17-02-2020;2.93;37.06;0.0;6.12;3.72
18-02-2020;1.28;12.75;0.0;9.62;2.29
19-02-2020;1.95;21.5;0.0;9.79;2.3
20-02-2020;3.42;37.62;0.0;10.94;1.87
21-02-2020;3.23;35.69;0.0;10.25;1.91
22-02-2020;2.69;27.31;0.0;9.58;2.11
23-02-2020;2.14;27.5;0.0;6.9;3.1
24-02-2020;2.81;40.0;0.0;4.33;3.26
25-02-2020;3.05;40.0;0.0;5.68;2.34
26-02-2020;2.44;26.69;0.0;9.33;2.04
27-02-2020;2.87;29.06;0.01;9.92;1.93
28-02-2020;4.03;41.38;0.81;10.05;1.8
29-02-2020;5.0;52.69;0.29;10.38;1.8
01-03-2020;4.76;45.06;0.0;11.18;1.84
02-03-2020;4.15;36.5;0.0;12.72;1.59
03-03-2020;4.15;34.88;0.0;13.73;1.66
04-03-2020;5.98;49.44;0.14;13.58;1.28
05-03-2020;4.46;35.62;0.0;14.49;1.91
06-03-2020;4.39;33.81;0.0;14.41;1.81
07-03-2020;3.85;29.81;0.0;14.26;1.76
08-03-2020;4.39;36.38;0.0;12.23;2.17
09-03-2020;3.78;34.56;0.0;11.51;2.07
10-03-2020;3.54;32.06;0.0;10.8;2.22
11-03-2020;2.56;26.88;0.0;9.09;2.11
12-03-2020;2.44;24.88;0.0;9.2;2.61
13-03-2020;2.69;27.88;0.17;8.95;2.74
14-03-2020;2.93;31.0;0.08;9.23;2.34
15-03-2020;2.62;30.0;0.0;7.84;2.16
16-03-2020;2.69;33.56;0.0;6.47;2.31
17-03-2020;2.81;40.12;0.0;4.66;2.28
18-03-2020;2.01;29.44;0.0;4.6;2.44
19-03-2020;1.28;14.94;0.0;7.57;1.52
20-03-2020;2.62;32.75;0.0;7.0;2.16
21-03-2020;1.71;21.88;0.0;5.78;2.59
22-03-2020;2.5;30.06;0.0;6.89;2.54
23-03-2020;2.01;27.06;0.0;5.92;3.01
24-03-2020;2.01;27.31;1.21;6.26;2.36
25-03-2020;4.15;57.5;2.08;5.23;2.29
26-03-2020;4.03;53.06;0.08;6.61;1.62
27-03-2020;3.85;45.69;0.0;7.4;1.81
28-03-2020;3.05;38.12;0.0;6.2;2.27
29-03-2020;2.08;22.31;0.0;8.2;2.03
30-03-2020;3.42;34.06;0.09;9.83;1.93
31-03-2020;4.15;46.88;0.01;7.73;2.59
01-04-2020;2.62;38.06;0.09;5.28;2.47
02-04-2020;2.56;35.75;0.01;8.33;1.66
03-04-2020;1.16;13.06;0.0;8.4;1.87
04-04-2020;1.16;16.06;0.0;5.87;2.45
05-04-2020;2.75;44.31;0.0;2.12;3.12
06-04-2020;1.28;17.75;0.0;5.5;1.87
07-04-2020;2.93;34.19;0.0;6.62;2.05
08-04-2020;3.36;42.12;0.0;6.23;1.75
09-04-2020;3.23;39.69;0.0;6.72;1.52
10-04-2020;4.27;52.69;0.0;6.33;1.74
11-04-2020;3.11;47.56;0.12;3.04;1.84
12-04-2020;3.91;78.88;4.39;-1.11;2.48
13-04-2020;1.77;39.56;0.02;-0.25;1.84
14-04-2020;1.53;23.38;0.0;3.15;1.97
15-04-2020;2.2;30.25;0.0;4.81;1.51
16-04-2020;2.56;29.69;0.0;7.07;1.31
17-04-2020;2.99;30.56;0.0;9.91;1.02
18-04-2020;2.2;23.44;0.0;8.89;1.69
19-04-2020;3.42;41.0;0.0;7.07;1.86
20-04-2020;2.75;30.69;0.0;7.27;1.34
21-04-2020;3.11;42.62;0.0;4.8;1.62
22-04-2020;1.95;26.31;0.0;4.92;1.75
23-04-2020;3.23;55.94;0.81;1.43;3.25
24-04-2020;3.91;80.12;1.32;-1.36;3.66
25-04-2020;3.42;65.88;0.0;0.33;2.7
26-04-2020;3.11;50.62;0.0;1.85;2.41
27-04-2020;3.05;63.44;0.29;-0.11;3.29
28-04-2020;0.85;21.75;0.0;-0.71;2.39
29-04-2020;0.73;10.94;0.0;4.21;2.12
30-04-2020;0.92;14.31;0.0;3.49;1.98
01-05-2020;1.04;12.81;0.0;6.09;1.29
02-05-2020;1.46;23.12;0.0;2.64;2.09
03-05-2020;1.71;31.06;0.0;1.11;2.41
04-05-2020;2.44;45.88;0.0;0.87;2.86
05-05-2020;2.08;31.75;0.0;2.48;2.04
06-05-2020;1.04;14.56;0.0;5.36;1.37
07-05-2020;1.16;14.5;0.0;6.39;1.45
08-05-2020;2.08;31.69;0.0;4.37;2.14
09-05-2020;2.14;37.38;0.0;1.27;3.64
10-05-2020;2.01;41.12;0.0;-0.48;3.71
11-05-2020;1.65;32.62;0.0;0.7;2.52
12-05-2020;1.65;36.44;0.0;-1.82;2.15
13-05-2020;1.83;37.75;0.0;-0.72;1.63
14-05-2020;2.14;36.69;0.0;1.29;1.65
15-05-2020;3.36;42.69;0.0;5.68;1.0
16-05-2020;2.56;31.62;0.0;6.44;1.34
17-05-2020;2.44;37.12;0.0;3.61;1.6
18-05-2020;2.62;45.44;0.0;1.76;2.06
19-05-2020;2.56;52.5;0.01;-0.78;2.48
20-05-2020;3.11;75.0;3.4;-3.35;4.14
21-05-2020;2.44;70.12;1.7;-5.34;2.75
22-05-2020;1.53;33.38;0.01;-1.02;1.1
23-05-2020;2.01;27.56;0.0;4.53;1.3
24-05-2020;2.38;32.0;0.0;4.94;1.71
25-05-2020;2.69;29.94;0.0;7.49;1.34
26-05-2020;2.32;27.69;0.0;6.87;1.5
27-05-2020;1.83;24.88;0.0;4.69;1.59
28-05-2020;2.99;58.19;0.06;-0.31;2.52
29-05-2020;4.03;85.12;0.03;-1.87;4.15
30-05-2020;2.99;70.75;0.0;-2.42;3.09
31-05-2020;3.48;81.56;0.03;-2.67;1.59
01-06-2020;3.23;75.44;0.0;-2.86;1.94
02-06-2020;2.44;59.81;0.51;-3.2;2.53
03-06-2020;2.2;62.94;1.78;-5.34;1.86
04-06-2020;1.59;35.38;0.0;-2.15;0.71
05-06-2020;0.98;16.75;0.0;1.61;0.86
06-06-2020;1.22;27.06;0.0;-1.52;2.69
07-06-2020;1.71;42.38;0.0;-3.65;2.73
08-06-2020;0.79;23.69;0.0;-5.2;3.6
09-06-2020;1.1;29.81;0.0;-4.22;3.25
10-06-2020;1.53;43.12;0.0;-4.6;2.78
11-06-2020;1.77;57.94;3.14;-6.94;5.27
12-06-2020;2.08;72.62;12.13;-8.89;4.61
13-06-2020;1.77;35.44;0.0;-2.47;1.62
14-06-2020;2.14;37.12;0.0;0.63;1.45
15-06-2020;2.56;48.81;0.0;-0.8;2.97
16-06-2020;3.36;66.56;0.98;-0.92;3.54
17-06-2020;2.99;87.5;3.49;-5.81;3.72
18-06-2020;2.38;69.38;0.28;-5.58;6.92
19-06-2020;2.75;73.38;1.61;-4.88;6.06
20-06-2020;2.32;70.31;0.17;-6.07;5.76
21-06-2020;2.01;53.62;0.0;-3.68;3.13
22-06-2020;3.6;81.88;13.49;-3.31;4.52
23-06-2020;3.05;92.88;25.92;-6.46;6.3
24-06-2020;2.08;96.5;26.02;-11.45;5.19
25-06-2020;1.4;59.5;0.01;-11.82;1.64
26-06-2020;2.5;93.19;0.03;-8.83;2.39
27-06-2020;2.14;68.38;0.0;-7.09;1.54
28-06-2020;2.08;76.44;0.18;-9.06;2.38
29-06-2020;2.93;95.44;24.26;-7.41;5.31
30-06-2020;2.14;86.81;0.48;-9.58;1.86
01-07-2020;3.11;95.94;3.09;-6.67;3.71
02-07-2020;2.14;75.19;0.0;-8.01;2.04
03-07-2020;2.87;90.38;0.94;-6.97;4.91
04-07-2020;2.99;96.25;26.62;-7.18;5.91
05-07-2020;1.89;81.12;8.37;-10.03;2.67
06-07-2020;2.08;81.69;0.15;-9.6;1.52
07-07-2020;1.77;96.5;0.06;-13.1;2.14
08-07-2020;1.95;91.0;1.05;-11.39;4.01
09-07-2020;2.08;73.44;0.02;-8.44;3.71
10-07-2020;2.26;78.06;0.12;-8.59;4.49
11-07-2020;3.05;91.38;0.0;-6.52;4.33
12-07-2020;3.3;89.56;0.0;-5.02;3.66
13-07-2020;2.99;78.19;0.0;-4.69;2.18
14-07-2020;1.71;40.94;0.0;-4.67;0.93
15-07-2020;2.01;53.0;0.0;-5.89;1.05
16-07-2020;2.32;60.56;0.03;-5.55;1.59
17-07-2020;2.99;78.38;0.04;-4.63;4.77
18-07-2020;3.54;90.62;0.06;-4.43;4.08
19-07-2020;3.23;92.69;0.01;-5.91;3.23
20-07-2020;3.48;97.0;0.71;-5.67;3.8
21-07-2020;3.23;97.0;1.32;-6.59;4.81
22-07-2020;1.59;87.62;0.27;-13.29;1.58
23-07-2020;1.28;85.94;0.0;-15.43;1.54
24-07-2020;1.59;86.62;0.0;-13.14;1.85
25-07-2020;2.14;66.5;0.0;-7.38;2.72
26-07-2020;2.93;81.88;0.0;-5.66;2.91
27-07-2020;2.44;85.56;0.0;-8.37;2.38
28-07-2020;1.16;35.75;0.0;-8.88;1.44
29-07-2020;1.71;40.44;0.0;-5.48;1.05
30-07-2020;2.01;64.38;0.0;-7.81;2.66
31-07-2020;2.44;54.0;0.0;-3.86;1.38
01-08-2020;2.26;53.44;0.0;-4.13;3.2
02-08-2020;1.77;29.81;0.0;0.22;1.16
03-08-2020;2.32;44.75;0.0;-1.19;1.15
04-08-2020;2.5;54.19;0.0;-2.08;1.43
05-08-2020;2.93;70.81;0.22;-3.67;3.13
06-08-2020;2.56;45.69;0.0;0.25;1.53
07-08-2020;2.56;46.94;0.0;0.35;1.28
08-08-2020;2.75;44.94;0.0;1.37;1.31
09-08-2020;2.44;47.12;0.0;-0.67;3.57
10-08-2020;1.16;33.12;0.0;-4.83;3.11
11-08-2020;1.28;32.75;0.0;-4.33;2.06
12-08-2020;1.46;45.69;0.0;-5.98;2.0
13-08-2020;1.53;50.56;0.01;-6.62;2.64
14-08-2020;1.53;63.06;0.06;-9.1;3.12
15-08-2020;1.04;36.19;0.0;-7.05;1.95
16-08-2020;1.04;29.69;0.0;-5.29;1.91
17-08-2020;1.46;44.31;0.0;-5.46;2.37
18-08-2020;2.2;79.0;0.0;-8.09;3.2
19-08-2020;2.08;67.19;0.01;-6.7;1.58
20-08-2020;1.28;29.06;0.0;-1.73;1.27
21-08-2020;1.46;25.31;0.0;0.8;1.16
22-08-2020;1.95;36.25;0.01;0.47;1.41
23-08-2020;2.81;64.38;0.1;-2.38;2.27
24-08-2020;2.5;66.06;0.15;-4.06;2.77
25-08-2020;2.5;70.25;0.78;-5.11;2.66
26-08-2020;2.01;68.56;0.49;-7.72;3.36
27-08-2020;1.34;40.06;0.0;-5.95;2.61
28-08-2020;1.53;53.5;0.04;-7.36;4.42
29-08-2020;1.77;67.81;0.05;-8.24;2.59
30-08-2020;1.16;30.38;0.0;-4.49;1.71
31-08-2020;2.56;54.56;0.0;-1.15;1.72
01-09-2020;2.44;54.31;0.0;-1.87;1.75
02-09-2020;1.71;48.06;0.0;-4.22;1.97
03-09-2020;1.59;44.38;0.0;-4.38;2.84
04-09-2020;1.95;47.62;0.0;-2.51;2.57
05-09-2020;2.2;71.31;0.0;-6.79;2.87
06-09-2020;1.34;30.25;0.0;-2.01;1.71
07-09-2020;1.71;36.62;0.0;-1.44;1.76
08-09-2020;2.56;63.25;0.01;-3.74;3.8
09-09-2020;2.81;65.5;0.01;-2.06;2.91
10-09-2020;2.14;42.06;0.0;-0.14;3.4
11-09-2020;1.28;27.69;0.0;-1.4;2.26
12-09-2020;1.4;30.19;0.0;-1.42;2.2
13-09-2020;1.53;33.56;0.0;-1.27;1.73
14-09-2020;1.65;24.69;0.0;3.87;1.51
15-09-2020;2.14;39.12;0.0;0.98;1.99
16-09-2020;3.11;61.56;0.0;-0.65;2.1
17-09-2020;2.5;40.0;0.0;2.7;2.05
18-09-2020;1.53;25.94;0.0;2.32;2.59
19-09-2020;2.08;32.0;0.0;3.11;2.02
20-09-2020;1.95;31.5;0.0;2.84;2.01
21-09-2020;2.2;34.62;0.0;3.05;2.02
22-09-2020;2.44;42.06;0.0;2.17;2.47
23-09-2020;1.89;29.5;0.0;3.69;2.25
24-09-2020;2.14;31.75;0.0;3.8;2.52
25-09-2020;3.11;57.12;0.04;0.86;2.89
26-09-2020;2.14;60.94;1.81;-4.6;3.4
27-09-2020;1.83;46.62;0.0;-3.12;2.01
28-09-2020;1.65;33.62;0.0;0.26;2.27
29-09-2020;2.2;54.19;0.0;-3.01;3.82
30-09-2020;1.83;41.5;0.0;-1.56;3.88
01-10-2020;2.08;48.38;0.0;-2.23;3.92
02-10-2020;2.26;54.06;0.18;-2.5;3.44
03-10-2020;2.56;59.62;0.09;-2.43;3.59
04-10-2020;1.4;34.81;0.0;-2.19;4.16
05-10-2020;1.71;32.44;0.0;0.62;3.12
06-10-2020;2.99;56.0;0.0;0.01;4.23
07-10-2020;2.14;43.62;0.0;-0.06;3.12
08-10-2020;1.59;33.19;0.0;0.04;2.57
09-10-2020;1.53;21.88;0.0;4.57;1.62
10-10-2020;1.53;23.75;0.0;3.14;2.52
11-10-2020;1.53;22.56;0.0;4.22;2.34
12-10-2020;1.83;25.12;0.0;5.31;1.75
13-10-2020;2.93;36.88;0.0;6.55;1.72
14-10-2020;4.21;58.81;0.01;5.48;1.7
15-10-2020;4.39;53.94;0.0;6.5;1.75
16-10-2020;4.21;52.44;0.0;6.02;2.27
17-10-2020;2.44;30.5;0.0;6.59;2.58
18-10-2020;2.56;37.5;0.0;4.48;3.02
19-10-2020;2.44;38.25;0.0;2.9;2.91
20-10-2020;2.5;37.19;0.0;4.92;2.25
21-10-2020;2.75;40.56;0.43;4.23;2.96
22-10-2020;2.01;28.25;0.48;5.39;2.36
23-10-2020;2.2;28.38;0.0;6.05;2.31
24-10-2020;2.44;38.19;0.04;3.97;2.88
25-10-2020;2.99;62.38;0.04;-1.18;2.62
26-10-2020;2.01;32.62;0.0;3.55;2.94
27-10-2020;2.2;45.38;0.0;-0.47;4.09
28-10-2020;1.59;39.06;0.02;-0.62;3.24
29-10-2020;1.95;35.69;0.01;2.5;2.22
30-10-2020;2.75;45.81;0.0;3.84;1.73
31-10-2020;2.87;37.06;0.0;6.93;1.71
01-11-2020;2.81;33.94;0.0;6.87;1.89
02-11-2020;2.81;33.62;0.0;7.53;1.77
03-11-2020;2.62;30.12;0.0;7.94;2.14
04-11-2020;3.11;37.69;0.0;6.52;2.31
05-11-2020;3.3;41.31;0.0;5.49;2.3
06-11-2020;3.3;46.25;0.0;5.0;2.39
07-11-2020;3.72;50.31;0.02;6.8;2.15
08-11-2020;3.54;46.94;0.15;6.18;2.26
09-11-2020;2.38;31.38;0.82;5.76;2.3
10-11-2020;2.69;34.94;0.84;6.03;2.05
11-11-2020;2.32;30.62;0.08;5.87;2.18
12-11-2020;2.5;33.94;2.54;5.37;2.34
13-11-2020;3.17;55.19;4.7;1.93;2.85
14-11-2020;2.81;52.44;1.98;0.69;2.47
15-11-2020;2.99;54.5;0.0;1.34;2.17
16-11-2020;2.62;42.0;0.4;3.38;2.03
17-11-2020;4.7;78.38;1.44;1.39;1.66
18-11-2020;3.85;57.62;0.0;4.23;1.33
19-11-2020;4.39;63.62;0.11;3.98;1.74
20-11-2020;2.75;45.44;0.05;2.68;2.95
21-11-2020;1.77;29.81;0.0;3.12;2.99
22-11-2020;2.26;27.19;0.01;7.39;2.58
23-11-2020;2.99;41.06;0.0;5.08;3.2
24-11-2020;2.62;40.12;0.0;3.66;3.41
25-11-2020;1.95;27.06;0.0;5.01;2.82
26-11-2020;1.77;24.69;0.0;6.29;2.59
27-11-2020;2.14;27.69;0.0;5.95;2.38
28-11-2020;2.38;31.38;0.0;5.9;2.62
29-11-2020;2.01;28.19;0.01;5.96;2.6
30-11-2020;2.32;29.5;0.01;6.94;2.85
01-12-2020;2.38;32.38;0.31;5.9;2.66
02-12-2020;2.08;29.31;0.08;4.87;2.73
03-12-2020;2.69;38.12;0.0;4.72;2.75
04-12-2020;3.17;45.56;0.0;5.67;1.71
05-12-2020;3.23;35.62;0.0;8.37;1.84
06-12-2020;3.05;31.88;0.0;9.65;1.92
07-12-2020;2.99;30.62;0.0;8.84;2.67
08-12-2020;2.56;29.62;0.0;8.22;2.35
09-12-2020;3.85;40.06;0.0;10.84;2.35
10-12-2020;2.93;35.5;0.0;7.14;3.87
11-12-2020;1.83;25.94;0.0;5.18;3.08
12-12-2020;2.44;35.0;0.0;4.56;4.02
13-12-2020;2.5;37.31;0.0;5.48;2.52
14-12-2020;2.08;26.44;0.0;6.28;3.37
15-12-2020;2.5;32.5;0.0;5.81;2.79
